date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648

2011-01-09 | 999999999999
2011-01-09 | -999999999999
2011-01-09 | inf
2011-01-09 | nan
2011-01-09 | 12a
2011-01-09 | --2
2011-01-09 | +-3
2011-01-09 | -+4
2011-01-09 | 0
2011-01-09a | 1
2011-01-09 | .
2011-01-09 | .2
2011-01-09 | +.2
2011-01-09 | 0.2
2011-01-09 | 3.
2011-01-09 | 3..1
2011-01-09 | 3.1.2
2011-01-09 | 1000
2011-01-09 | 1001
2011-1-03 | 1.2
2011-01-3 | 1.2
2011-01-03|1.2
2011-01-03 |1.2
2011-01-03| 1.2
2011 -01-03 | 1.2
 2011-01-03 | 1.2
2011-01-03 | 1.2 
2011-01-03  | 1.2
2011-02-29 | 1.2
2012-02-29 | 1.2
2400-02-29 | 1.2
2008-12-31 | 1.2
2010-04-31 | 1.2
2013-00-15 | 1.2
2013-13-15 | 1.2
2011-01-09 | 00012
2011/01/09 | 1.2
2011-01-09 - 1.2
2011-01-09
| 1.2
2011-01-09 |
2011-01-09 | 1.2 | a
just text
2009-01-01 | 1
2009-01-02 | 1
